LM	73.7	-46	-60.2
LE1	80.9	35.3	-27.3
Nz 	0	0	0
LE3	71.1	-58.7	-48.2
LD2	76.2	42.7	-6.7
LD5	87.3	-34.9	-11.7
LC3	89.1	-2.3	18.9
LC6	71.9	-67.5	-1.9
LB1	70.9	41.1	43.2
LB4	81.2	-37.5	37.8
LA2	71.3	0.2	60.6
LA5	61.2	-72.6	44.9
LL1	52.7	77	21.1
LL7	51.9	-48.1	78.1
LL10	46.8	-90	29.3
LL13	41.4	-97.1	-40.3
L3 	30.3	65.7	65.8
L6 	29	-6	93.1
L9 	27.6	-83.5	67.4
Z1	1.6	90.5	29.8
Z4 	1.6	34.5	92.2
Z7 	1.6	-50.9	94.3
Z10	1.6	-100.9	34.9
Z13	1.6	-111.1	-40.1
R3 	-27.2	65.7	65.8
R6 	-25.8	-6	93.1
R9 	-24.5	-83.5	67.4
R12	-23.1	-107.1	-2.5
RR1	-49.6	77	21.1
RR4	-50.3	27.9	73.9
RR7	-48.7	-48.1	78.1
RR1	-43.7	-90	29.3
RR13	-38.2	-97.1	-40.3
RA2 	-68.1	0.2	60.6
RA5 	-58.1	-72.6	44.9
RB1 	-67.7	41.1	43.2
RB4 	-78	-37.5	37.8
RC3 	-86	-2.3	18.9
RC6 	-68.8	-67.5	-1.9
RD2 	-73.1	42.7	-6.7
RD5 	-84.1	-34.9	-11.7
RE1 	-77.7	35.3	-27.3
RE3 	-67.9	-58.7	-48.2
Rm  	-74.8	-45.6	-61.4
Veog	0	0	0
RE4 	-51.2	-78.4	-58.3
RD1 	-58.8	69.5	-4.1
RD3 	-81.5	18.1	-6
RD4 	-86.6	-12.6	-9
RD6 	-75.2	-58.8	-25.1
RD7 	-56.6	-81.1	-31.6
RC1 	-67.9	55.2	19.4
RC2 	-81.1	28	20.9
RC4 	-84.6	-25	15.6
RC5 	-80	-48.7	7.7
RC7 	-55.2	-84.4	-8.3
RB2 	-76.5	15.7	43
RB3 	-80.2	-8.8	40.7
RB5 	-71	-61.1	32
RB6 	-59.2	-78.3	23.4
RA1 	-63.5	27.6	60
RA3 	-68.1	-27.7	61.2
RA4 	-67.2	-50.7	55
RA5 	-58.1	-72.6	44.9
RR2 	-52.1	63.3	47
RR3 	-50.5	47.8	64.2
RR5 	-48.6	1.6	79.8
RR6 	-48.6	-24.7	81.5
RR8 	-47.3	-66.6	69.1
RR9 	-45.5	-81.4	52.5
RR10 	-43.7	-90	29.3
RR11	-44.8	-93.6	7.9
RR12	-39.9	-98.3	-19.3
R1  	-25.9	90.1	14.7
R2  	-27.6	82.5	43.2
R4  	-28.9	42.9	81.1
R5  	-27.2	18.4	89.6
R7  	-25.4	-37.4	92.9
R8  	-26.1	-63.8	84.4
R10 	-24.2	-93	46.6
R11 	-23.1	-100.4	21.6
R13 	-23.1	-107.2	-29.5
R14 	-23.1	-101.1	-57.2
Z2  	1.6	81	56.1
Z3  	1.6	61.7	77.7
Z5  	1.6	5.9	98.4
Z6  	1.6	-24.3	99.2
Z8  	1.6	-75	79.7
Z9  	1.6	-93.3	57.9
Z11 	1.6	-109	9.8
Z12 	1.6	-113.7	-14.7
Z14 	1.6	-104.7	-61.5
L1  	29.1	90.1	14.7
L2  	30.8	82.5	43.2
L4  	32	42.9	81.1
L5  	30.3	18.4	89.6
L7  	28.6	-37.4	92.9
L8  	29.3	-63.8	84.4
L10 	27.3	-93	46.6
L11 	26.2	-100.4	21.6
L13 	26.2	-107.2	-29.5
L14 	26.2	-101.1	-57.2
LL2 	55.2	63.3	47
LL3 	53.7	47.8	64.2
LL5 	51.8	1.6	79.8
LL6 	51.8	-24.7	81.5
LL8 	50.4	-66.6	69.1
LL9 	48.6	-81.4	52.5
LL11	48	-93.6	7.9
LL12	43	-98.3	-19.3
LA1 	66.7	27.6	60
LA3 	71.3	-27.7	61.2
LA4 	70.3	-50.7	55
LB2 	79.7	15.7	43
LB3 	83.4	-8.8	40.7
LB5 	74.1	-61.1	32
LB6 	62.4	-78.3	23.4
LC1 	71.1	55.2	19.4
LC2 	84.2	28	20.9
LC4 	87.8	-25	15.6
LC5 	83.2	-48.7	7.7
LC7 	58.4	-84.4	-8.3
LD1 	61.9	69.5	-4.1
LD3 	84.6	18.1	-6
LD4 	89.8	-12.6	-9
LD6 	78.3	-58.8	-25.1
LD7 	59.7	-81.1	-31.6
LE4 	54.4	-78.4	-58.3
